name,category,quantity,unit_price,cost_price,unit,brand,model_variant,description,low_stock_alert,available_for_sale,tax,tags,main_image_url,expiry_date,status,return_policy
Viva Plus Soap,Home Care & Detergents,24,420,350,Packet,Viva Plus,,"Recorded: 24 Packets | Price per single piece | Source: Page 4, 03/09/2026 (continued)",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Sachet 3-in-1 Checkers Custard,Custard,80,300,250,Packet,Checkers,,"Recorded: 80 Packets | Price per single piece | Source: Page 4, 03/09/2026 (continued)",5,YES,0,stock-count,https://images.unsplash.com/photo-1587314168485-3236d6710814?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
85g Good Mama Detergent,Home Care & Detergents,13,215,180,Roll,Good Mama,,"Recorded: 13 Rolls + 2 extra | Price per single piece | Source: Page 4, 03/09/2026 (continued)",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
80g Viva Plus Detergent,Home Care & Detergents,6,205,170,Roll,Viva Plus,,"Recorded: 6 Rolls x 11 pieces (25 total) | Price per single piece | NOTE: Handwriting unclear on this line - please verify against the physical book before use | Source: Page 4, 03/09/2026 (continued)",5,YES,0,stock-count,https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Sachet Gino Hot Red Pepper Powder,Tomato & Pepper Paste,90,145,120,Piece,Gino,,"Recorded: 90 Pieces | Price per single piece | NOTE: Handwriting unclear on the leading digit - please verify against the physical book before use | Source: Page 4, 03/09/2026 (continued)",5,YES,0,stock-count,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
45g Vanilla Checkers Custard,Custard,8,300,250,Roll,Checkers,,"Recorded: 8 Rolls x 4 + 1 (97 total) | Price per single piece | Source: Page 4, 03/09/2026 (continued)",5,YES,0,stock-count,https://images.unsplash.com/photo-1587314168485-3236d6710814?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Beverages Milo 1kg,Beverages & Dairy,0,6600,5500,Piece,Milo,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Carton of Milo,Beverages & Dairy,0,11400,9500,Piece,Milo,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Milk 1kg Peak,Beverages & Dairy,0,6240,5200,Piece,Peak,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Ovaltine Carton,Beverages & Dairy,0,7200,6000,Piece,Ovaltine,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1517578239113-b03992dcdd25?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Carton of Milk,Beverages & Dairy,0,11400,9500,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Three Crown Tin,Beverages & Dairy,0,2280,1900,Piece,Three Crowns,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Peak Milk Tin,Beverages & Dairy,0,2520,2100,Piece,Peak,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Carton Sugar,Sugar,0,26400,22000,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1581441363689-1f3c3c414635?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Milo 3-in-1 Carton,Beverages & Dairy,0,6600,5500,Piece,Milo,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Cowbell Chocolate,Beverages & Dairy,0,6000,5000,Piece,Cowbell,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Cowbell Milk,Beverages & Dairy,0,6000,5000,Piece,Cowbell,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Loyal Milk,Beverages & Dairy,0,5400,4500,Piece,Loyal,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1550583724-b2692b85b150?w=600&auto=format&fit=crop&q=80,2027-03-19,active,
Custard 3-in-1,Custard,0,300,250,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1587314168485-3236d6710814?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Custard,Custard,0,300,250,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1587314168485-3236d6710814?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Sugar 50kg,Sugar,0,93600,78000,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1581441363689-1f3c3c414635?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Good Sardine,Canned Fish,0,1560,1300,Piece,Good,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1534483509719-3feaee7c30da?w=600&auto=format&fit=crop&q=80,2028-03-18,active,
La Buffer Sardine,Canned Fish,0,1440,1200,Piece,La Buffer,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1534483509719-3feaee7c30da?w=600&auto=format&fit=crop&q=80,2028-03-18,active,
Guan Kays Sardine,Canned Fish,0,1440,1200,Piece,Guan Kays,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1534483509719-3feaee7c30da?w=600&auto=format&fit=crop&q=80,2028-03-18,active,
Titus,Canned Fish,0,2400,2000,Piece,Titus,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1534483509719-3feaee7c30da?w=600&auto=format&fit=crop&q=80,2028-03-18,active,
Geisha,Canned Fish,0,1800,1500,Piece,Geisha,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1534483509719-3feaee7c30da?w=600&auto=format&fit=crop&q=80,2028-03-18,active,
La Buffer Geisha,Canned Fish,0,1800,1500,Piece,Geisha,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1534483509719-3feaee7c30da?w=600&auto=format&fit=crop&q=80,2028-03-18,active,
Handkerchief,Personal Care & Toiletries,0,720,600,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1556228720-195a672e8a03?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Golden Morn (All sizes),Grains & Pasta,0,5400,4500,Piece,Golden Morn,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1542838132-92c53300491e?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Tooth Paste (All sizes),Personal Care & Toiletries,0,1080,900,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1556228720-195a672e8a03?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Tissue (All sizes),Personal Care & Toiletries,0,1440,1200,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1556228720-195a672e8a03?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Morning Fresh,Home Care & Detergents,0,1800,1500,Piece,Morning Fresh,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Oat Meal,Grains & Pasta,0,6000,5000,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1586201375761-83865001e31c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Suya Sauce Oil,Cooking Oil,0,3000,2500,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Washing Soap,Home Care & Detergents,0,480,400,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1583947215259-38e31be8751f?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Flour,Grains & Pasta,0,1680,1400,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1586201375761-83865001e31c?w=600&auto=format&fit=crop&q=80,2027-09-17,active,
Pampers,Personal Care & Toiletries,0,10200,8500,Piece,Pampers,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1556228720-195a672e8a03?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Sanitary Pad,Personal Care & Toiletries,0,1440,1200,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1556228720-195a672e8a03?w=600&auto=format&fit=crop&q=80,2028-09-17,active,
Eggs,Farm Produce,0,180,150,Piece,,,To-buy / placeholder — price per single piece; set quantity after restock,5,YES,0,"shopping-list,placeholder",https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=600&auto=format&fit=crop&q=80,2026-09-25,active,
